mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
CCRC-M54,non-Fuc XG-5,0.6235,0.8595,0.483,0.7805,0.8205,0.643,0.5845,0.8075,0.47,0.83,0.7715,0.8895
CCRC-M48,non-Fuc XG-5,0.4325,0.6715,0.3465,0.688,0.6465,0.5035,0.4355,0.6765,0.3445,0.7375,0.6985,0.7905
CCRC-M49,non-Fuc XG-5,0.107,0.211,0.057,0.179,0.173,0.136,0.0905,0.194,0.0625,0.1995,0.172,0.198
CCRC-M96,non-Fuc XG-5,0.2805,0.509,0.1705,0.6165,0.494,0.305,0.217,0.494,0.1745,0.594,0.59,0.6065
CCRC-M50,non-Fuc XG-5,0.571,0.7665,0.473,0.7755,0.799,0.624,0.551,0.765,0.466,0.719,0.7485,0.7735
CCRC-M51,non-Fuc XG-5,0.021,0.0795,0.0065,0.16,0.046,0.0245,0.0115,0.0615,0.0105,0.226,0.163,0.16
CCRC-M53,non-Fuc XG-5,0.51,0.685,0.3865,0.679,0.6855,0.5125,0.4525,0.675,0.3765,0.7,0.6805,0.7355
CCRC-M57,non-Fuc XG-6,0.0165,0.067,0.004,0.124,0.0355,0.023,0.0125,0.05,0.0125,0.2045,0.119,0.113
CCRC-M102,Fuc XG,0.7115,0.878,0.5625,0.8355,0.8215,0.737,0.6705,0.7625,0.636,0.926,0.8335,0.927
CCRC-M39,Fuc XG,0.4495,0.5745,0.4575,0.5915,0.5835,0.535,0.433,0.5425,0.4305,0.656,0.5985,0.5975
CCRC-M106,Fuc XG,0.9075,0.9885,0.7995,0.9675,1.003,0.881,0.8845,1.0095,0.727,1.0415,0.9175,1.0305
CCRC-M84,Fuc XG,0.8205,0.954,0.8015,1.0265,1.0055,0.935,0.817,1.0355,0.808,1.037,1.003,1.007
CCRC-M1,Xylan-1/XG,0.854,0.9865,0.7855,0.969,1.123,0.924,0.853,1.1035,0.9075,0.97,0.965,1.0505
CCRC-M111,Xylan-1/XG,0,0.0025,0,0.0035,0.00225,0,0.00125,0.00525,0,0.00325,0.00325,0.009
