motif_name,motif,termini_spec
B-GD1b,Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(b1-4)[Sia(a2-8)Sia(a2-3)]Gal(b1-4)Glc1Cer,"['terminal', 'terminal', 'flexible', 'flexible', 'terminal', 'flexible', 'flexible', 'terminal']"
GP1ca,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GalNAc(b1-4)[Sia(a2-8)Sia(a2-8)Sia(a2-3)]Gal(b1-4)Glc1Cer,"['terminal', 'flexible', 'terminal', 'flexible', 'terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
Isoglobotetraosylceramide,GalNAc(b1-3)Gal(a1-3)Gal1Cer,"['flexible', 'flexible', 'terminal']"
polySia,Sia(a2-8)Sia(a2-8)Sia,"['flexible', 'flexible', 'flexible']"
high_mannose,Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
Gala_series,Gal(a1-4)Gal1Cer,"['flexible', 'terminal']"
LPS_core,Kdo(a2-4)Kdo(a2-6)GlcN(b1-6)GlcN,"['flexible', 'flexible', 'flexible', 'terminal']"
Nglycan_complex,GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Nglycan_complex2,GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Oglycan_core1,Gal(b1-3)[!GlcNAc(b1-6)]GalNAc,"['flexible', 'flexible', 'terminal']"
Oglycan_core2,Gal(b1-3)[GlcNAc(b1-6)]GalNAc,"['flexible', 'flexible', 'flexible']"
Oglycan_core3,GlcNAc(b1-3)[!GlcNAc(b1-6)]GalNAc,"['flexible', 'flexible', 'terminal']"
Oglycan_core4,GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,"['flexible', 'flexible', 'flexible']"
Oglycan_core5,GalNAc(a1-3)GalNAc,"['flexible', 'terminal']"
Oglycan_core6,GlcNAc(b1-6)[!Monosaccharide(b1-3)]GalNAc,"['flexible', 'flexible', 'terminal']"
Oglycan_core7,GalNAc(a1-6)GalNAc,"['flexible', 'terminal']"
Xylogalacturonan,Xyl(a1-3)GalA(a1-4)[Xyl(a1-3)]GalA,"['flexible', 'flexible', 'flexible', 'flexible']"
Sialosylparagloboside,Sia(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,"['terminal', 'flexible', 'flexible', 'flexible', 'terminal']"
LDNF,Fuc(a1-3)[GalNAc(b1-4)]GlcNAc,"['flexible', 'flexible', 'flexible']"
OFuc,GlcNAc(b1-3)Fuc,"['flexible', 'terminal']"
Arabinogalactan_type2,Araf(b1-6)Gal(b1-3)[Araf(b1-3)Araf(b1-6)]Gal,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
EGF_repeat ,Sia(a2-3)Gal(b1-4)GlcNAc(b1-3)Fuc,"['flexible', 'flexible', 'flexible', 'terminal']"
Nglycan_hybrid,GlcNAc(b1-2)Man(a1-3)[Man(a1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Arabinan,Araf(a1-5)Araf(a1-5)[Araf(a1-3)]Araf,"['flexible', 'flexible', 'flexible', 'flexible']"
Xyloglucan,Xyl(a1-6)Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
Acharan_Sulfate,IdoA2S(a1-4)GlcNAc(a1-4)IdoA2S,"['flexible', 'flexible', 'flexible']"
M3FX,Xyl(b1-2)[Man(a1-3)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
M3X,Xyl(b1-2)[Man(a1-3)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'terminal', 'flexible', 'terminal']"
1-6betaGalactan,Gal(b1-6)Gal(b1-6)Gal,"['flexible', 'flexible', 'flexible']"
Arabinogalactan_type1,Araf(a1-5)Araf(a1-3)Gal(b1-4)[Araf(a1-3)]Gal,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
Galactomannan,Gal(a1-6)Man(b1-4)[Gal(a1-6)]Man,"['flexible', 'flexible', 'flexible', 'flexible']"
Tetraantennary_Nglycan,GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'flexible', 'terminal']"
Mucin_elongated_core2,Gal(b1-?)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,"['flexible', 'flexible', 'flexible', 'flexible']"
Fucoidan,Fuc4S(a1-2)Fuc4S,"['flexible', 'flexible']"
Alginate,L-GulA(a1-4)ManA(b1-4)ManA,"['flexible', 'flexible', 'flexible']"
FG,Fuc(a1-2)Gal(b1-2)Xyl(a1-6)Glc(b1-4)Glc,"['flexible', 'flexible', 'flexible', 'flexible', 'flexible']"
XX,Xyl(a1-6)Glc(b1-4)[Xyl(a1-6)]Glc,"['flexible', 'flexible', 'flexible', 'flexible']"
Difucosylated_core,Fuc(a1-3)[Fuc(a1-6)]GlcNAc,"['flexible', 'flexible', 'flexible']"
GalFuc_core,Gal(b1-4)Fuc(a1-6)GlcNAc,"['flexible', 'flexible', 'flexible']"
DisialylLewisC,Sia(a2-3)Gal(b1-3)[Sia(a2-6)]GlcNAc,"['terminal', 'flexible', 'terminal', 'flexible']"
RM2,Sia(a2-3)[GalNAc(b1-4)]Gal(b1-3)[Sia(a2-6)]GlcNAc,"['terminal', 'flexible', 'flexible', 'terminal', 'flexible']"
DisialylLewisA,Sia(a2-3)Gal(b1-3)[Fuc(a1-4)][Sia(a2-6)]GlcNAc,"['terminal', 'flexible', 'terminal', 'terminal', 'flexible']"
