glycan,H7-01 Control,H7-02 Non inf control,H7-03 Non inf control,H7-04 Non inf control,H7-06 Infected vehicle,H7-08 Infected vehicle,H7-09 Infected vehicle,H7-10 Infected vehicle,H7-35 RaMH,H7-36 RaMH,H7-37 RaMH,H7-38 RaMH,H10-01 Non inf control,H10-02 Non inf control,H10-03 Non inf control,H10-04 Non inf control,H10-07 Infected control,H10-08 Infected control,H10-09 Infected control,H10-10 Infected control,H10-15 IL4,H10-17 IL4,H10-18 IL4,H10-19 IL4
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,12.05956553,11.05468101,8.531418252,8.284337475,7.256820803,10.69912691,9.462218993,8.488678194,8.034709237,7.527972695,5.161871581,11.58012871,5.908244368,7.428256067,10.76638224,9.242333588,9.127857752,7.842136153,8.044780078,9.514558358,6.680351126,6.874555932,7.451343507,7.95413564
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(?1-3)Gal(b1-3)]GalNAc,0.299490674,0.345753917,0.374847758,0.003882462,0.250251292,0.276071013,0.314303832,0.190631629,0.2643389,0.350544363,0.139733406,0.279363928,0.004758952,0.17518711,0.241490072,0.305855139,0.283164027,0.15863002,0.14530535,0.31477057,0.14452588,0.214132771,0.172845099,0.219506984
Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.493103832,0.873376532,0,0.005075597,0.006111971,0.586225799,0.00586434,0,0.555564595,0.305189422,0.219381375,0.736118029,0.22481286,0.397386922,0.008700158,0.568006184,0.715369911,0.50292817,0.393046433,0.674476347,0.005800272,0.326273039,0.438028184,0.538476213
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0.122867168,0.085767123,0.116210943,0.200960959,0.103462648,0.000867082,0.088405768,0,0.082158084,0.00098021,0,0.001540108,0.001206447,0.024899705,0.197184067,0.128173603,0.054800137,0.042909303,0.047029632,0.134417809,0,0.022949784,0.020469515,0.001402673
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0.551883435,0.379177099,0.573200321,0.558262783,0.556704162,0.388215761,0.680477457,0.695144047,0.475451872,0.654477608,0.384104992,0.472330983,0.490469147,0.285956223,0.445354647,0.497944302,0.326046934,0.218683513,0.289098197,0.466647782,0.353435113,0.350619019,0.326418464,0.4353897
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,0.525570686,0.583897586,0.549993045,0.540713425,0.649061166,0.589157044,0.51136421,0.528858547,0.565301248,0.408390508,0.404017486,0.565871482,0.643247028,0.346142128,0.626239497,0.463360386,0.432308686,0.409562291,0.365113038,0.524670914,0.55704959,0.540503864,0.375581044,0.599032766
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.196939479,0.243506624,0.208722118,0.215788357,0.260441394,0.183754207,0.233496387,0.197510002,0.21239562,0.152125892,0.208768165,0.218795168,0.173845427,0.113336602,0.274320373,0.190929933,0.14173088,0.142836157,0.144491885,0.203777608,0.189808267,0.246872619,0.140593508,0.207604893
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.695903672,0.943454843,0.809288148,0.860028097,0.953977743,0.729179572,1.006546586,1.325680888,0.796483545,1.483619757,1.508422682,0.568701444,1.999407352,0.782223269,0.534219766,0.640601377,0.734331958,0.940686316,0.80599181,0.596532124,1.066797549,0.897303583,1.065420119,0.780577888
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-?)Gal(b1-3)]GalNAc,2.773211865,3.952999457,3.330278303,4.158828843,3.378896557,4.131508502,2.11087513,3.288275746,3.892612751,2.978797764,7.843628575,2.445446254,4.513844303,3.879904178,2.692408992,2.360655941,3.296156763,5.17111071,4.225377127,2.017846729,5.800535535,5.589050542,3.042844924,3.84689217
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.004391837,0.143196434,0.494158759,0.00365407,0.687085914,0.005077808,0.065685368,0.14259841,0.295154412,0.00339461,0.260893005,0.11305386,0.005965823,0.143031307,0,0.274742762,0.207091145,0.112005352,0.077877975,0.153774652,0.509125826,0.349050091,0.270011935,0.552663985
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.373457301,0.547189111,0.861666591,0.188567375,1.677001475,0.024157806,0.006064516,0.27295399,0.649618547,0.410948997,0.375267872,0.62458233,0.005153914,0.506571107,0.595018505,0.510886429,2.261917874,0.628483594,0.391549415,1.047875493,2.083950351,1.5362382,1.479675592,2.410836053
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)]GalNAc,0.19358784,0.244588293,0.211504449,0.295437519,0.129959341,0.125823356,0.123400165,0.140042837,0.150468244,0.115812202,0.065669004,0.176933255,0.07693402,0.099302659,0.404486518,0.23567979,0.138046272,0.125505875,0.117379882,0.288557774,0,0,0,0.111607353
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)]GalNAc,0.020102818,0.022591823,0.027461723,0.024366693,0.01684739,0.020544205,0.016899251,0.020202068,0.024671008,0.018848646,0.015886666,0.022620861,0.077184001,0.948310312,0.02419352,1.129400888,1.187293681,0.851754039,0.900542847,0.024553943,0.803399141,0.930679808,0.791197779,0.020538539
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.349937118,0.658549028,0.506042139,0.346654986,0.338538266,0.46436017,0.360209925,0.463033753,0.449736072,0.390288769,0.690384364,0.378092637,0.360863447,1.73288724,0.425736725,0.657369527,0.798150804,1.576814505,1.705265001,0.3850202,0.5068394,0.793153025,2.181613406,0.480194412
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.218442109,0.247837081,0.230304924,0.370215139,0.185620563,0.109957635,0.207287888,0,0.171552045,0,0.075241251,0.12101834,0.006384715,0.066757881,0.392836783,0.218860175,0.140654915,0.107767937,0.095453766,0.26806461,0.004412902,0.04030069,0.032926745,0.105960087
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,1.199492605,0.95301623,1.24501988,1.421367078,1.348620042,0.936776678,1.634322081,1.95608807,1.195583224,1.836520215,1.105515671,0.881833142,1.814493073,0.616261887,0.991514702,0.997233849,0.857123301,0.530361721,0.654242959,1.028025187,0.769370129,0.945043831,0.870654437,0.945554288
