glycan,M-High-IB,M-B,M-Low-IA,M-Low-IIIC,M-LMP-IA,M-High-IA,M-B2,M-Low-IA2,M-LMP-IA2,M-LMP-IA3,M-High-IIB,S-B,S-Low-IA,S-High-IA,S-LMP-IA,S-Low-IIIC,S-High-IIIC,S-High-IV,S-B2
Fuc(a1-2)[Gal(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,5.65,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.46,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,1,3.09,0,0,4.3,4.63,5.07,1.51,0.31,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,0,0,11.22,3.44,0,0,1.74,3.18,10.04,2.21,0.53,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-?)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,3.14,10.48,15.81,9.34,7.73,26.56,18.77,2.6
Neu5Ac(a2-3)Gal(b1-?)[Fuc(a1-?)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,2.31,0.66,0.7,0,0.69,0.57,1.41,0.54
Fuc(a1-?)[Gal(b1-?)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-?)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,1.4,0.55,0,0.21,0.14,0,0,4.71
Fuc(a1-2)Gal(b1-3)[Gal(b1-?)GlcNAc6S(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,3.06
Fuc(a1-2)Gal(b1-3)[Fuc(a1-?)[Gal(b1-?)]GlcNAc6S(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,4.39
