glycan,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,C6,T6,C7,T7,C8,T8,C9,T9,C10,T10,C11,T11,C12,T12,ST4,ST7,ST6,ST11,ST12
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,3.79,7.76,4.23,1.1,2.44,0.19,7.48,3.34,3.56,5.49,4.61,4.39,1.47,3.41,5.19,2.66,3.14,4.11,3.12,0,2.54,5.27,1.6,7.82,4.29,4.85,3.45,6.97,6.86
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,3.36,0,6.48,0,1.39,0,0,0,2.12,0,1.98,0,0,0,3.18,0,0,0,0,2.2,2.74,2.28,5.47,1.81,12.6,12.56
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-3/4)[GalOS(b1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc(b1-3)Gal(b1-3/4)GlcNAc6S(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0,0,0,1.18,0,1.48,0,0.78,0,2.06,0,1.59,0,3.17,0,4.53,0,1.11,0,0,0,0,0,0
Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0.86,0,2.12,0,0.56,0,0,0,0,0,0
