glycan,NG_Control_1,NG_Control_2,NG_Control_3,NG_Control_4,NG_SSSMuG_1,NG_SSSMuG_2,NG_SSSMuG_3,NG_SSSMuG_4,NG_SSSMuG_5,NG_SSSMuG_6
{Fuc(a1-?)}{Hex(?1-?)}GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.357477442,0.271377695,0.252175833,0.206960292,0.371385514,0.370941571,0.344487701,0.361987537,0.375068955,0.367325826
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.092451063,0.045187067,0.176002025,0.062797427,0.038813181,0.051283047,0.075804855,0.043821276,0.033657493,0.071228051
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.207426566,0.110593431,0.190806706,0.189539743,0.110234569,0.208038541,0.174326402,0.135564953,0.222381282,0.123715518
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.278473807,0.273828519,0.288153691,0.140720481,0.257855889,0.179550935,0.308870451,0.222296144,0.259031873,0.245460163
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.094468177,0.090731545,0.367883931,0.313152619,0.133200105,0.158416266,0.128375196,0.135970002,0.205512891,0.115417104
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.305480723,0.435480783,0.277980641,0.276016599,0.784793677,0.641754633,0.435917318,0.538133371,0.689681283,0.654641113
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.075865902,0.02757177,0.092715352,0.195485679,0.035846205,0.082355565,0.045005615,0.069238122,0.049792475,0.054994279
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.075417655,0.041664007,0.032504133,0.090545128,0.04708648,0.149282017,0.054596607,0.138476245,0.052765752,0.063966939
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.649663142,1.394876246,0.395260186,0.89481118,1.441080207,0.517156516,0.946333675,0.945840852,0.951349461,0.715150379
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.132905406,0.144904967,0.12505407,0.139051446,0.115940292,0.104334013,0.202986806,0.189866881,0.171161633,0.121260571
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.375743531,0.193461916,0.201972248,0.192356239,0.247828081,0.085261917,0.373508331,0.076858113,0.232926503,0.15936412
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.199021924,0.136071789,0.139279798,0.168155237,0.180771571,0.187519964,0.14080296,0.121666697,0.163094142,0.154039305
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.053534208,1.587163809,2.097633153,1.109282127,1.458511191,1.661977886,1.918986291,1.173908949,1.506024156,2.301080972
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.150835309,0.287614404,0.181129903,0.107965676,0.137707626,0.172117639,0.266769151,0.14045086,0.257723632,0.278377204
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAcOS(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.186919239,0.124328257,0.610548377,0.174309802,0.213764914,0.237396712,0.160480252,0.120350287,0.262243012,0.196067313
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAcOS(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.027344678,0.037380774,0.053403361,0.030960959,0.033776424,0.073095194
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAcOS(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.112545387,0.033068123,0.070176339,0.025948474,0.051061073,0.059074333
GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAcOS(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.102574636,0.184841299,0.092960572,0.168044847,0.089951534,0.222708678
{Fuc(a1-2/3/6)}{HexNAc(b1-?)}{HexNAc(b1-?)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.038773415,0.086697898,0.007030156,0.037448964,0.04119532,0.048470449,0.019474666,0.055871494,0.012725625,0.029684117
{Fuc(a1-2/3/6)}{HexNAc(b1-?)}{HexNAc(b1-?)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.06152198,0.032881888,0.041850105,0.131958049,0.093359893,0.051992894,0.049238259,0.030277439,0.045986681,0.057777706
{Fuc(a1-3/6)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0.031238834,0.041720212,0.00781238,0.038783475,0.032289786,0.03630556
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.096261167,0.088893427,0.124475116,0.039952516,0.08550026,0.140924582,0.194386433,0.120654074,0.161310176,0.144219515
{Hex(?1-?)}{Hex(?1-?)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.08281374,0.103955783,0.155655926,0,0.180186734,0.169599694,0.060225123,0.192702226,0.198753642,0.157911898
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.210564299,0.200150624,0.278807719,0.206125774,0.26319074,0.341730726,0.241778539,0.329127909,0.354811029,0.355137531
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.60233268,0.626798228,0.287161198,0.434261942,0.731644867,0.559385675,0.485876027,0.565676726,0.598362042,0.295077761
{Fuc(a1-2/3)}{HexNAcOS(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.058462363,0,0,0.078439428,0.039429953,0.059031877,0.097566261,0.036511839,0.041768682
{Fuc(a1-2/3)}{HexNAcOS(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.098095644,0.119897059,0.10601873,0,0.206404874,0
{Fuc(a1-2/3/6)}{Fuc(a1-2/3/6)}{HexNAcOS(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0.024334909,0.043434558,0.036607869,0.010024971,0.052428781,0.056947864
{Fuc(a1-2/3/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0.12687364,0,0.078125613,0.18947539,0.22527573,0.126071609,0.144976976,0.107153267
{Fuc(a1-2/3/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.02798024,0.039368874,0,0.027344678,0.032505603,0.066776715,0.048251503,0.040258168,0.076449136
{Fuc(a1-2/3/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0.106910986,0.149429344,0.120832984,0.075491072,0.10140856,0.156840019
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.065316265,0.166331722,0.084022489,0.066250884,0.082538163,0.065021529
{Fuc(a1-2/3)}{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.078630602,0.117362252,0,0.095813354,0.081806438,0.090101286,0.06999759,0.079267559,0
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.386165287,0.21955298,0.506336652,0.250146562,0.412067319,0.403085555,0.293313233,0.306926141,0.477647004,0.365890892
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.270710159,1.421528957,2.682542138,2.093699603,1.517223082,2.086747236,2.976156705,1.901478835,2.195130605,1.972498365
{Fuc(a1-3/6)}{HexNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.171790884,0.055245657,0.110497512,0.079905032,0.072148868,0.12429007,0.134701648,0.055820863,0.105947763,0.070726689
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,0,0.03049709,0.0519795,0.02575609,0.093363874,0.022953697,0.028110876
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.206754194,0.045595537,0.239686968,0.128098406,0.074459686,0.123178424,0.171039348,0.159209708,0.109258011,0.103418981
