glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.241129,0.33972,0.393252,0.142454,0.476236,0.657282,0.433707,0.458768,0.347779,0.259847,0.373445,0.791967,0.212564,0.442467,0.535368,0.280531,0.481058,0.471668,0.49696,0.479446,0.072968,0.437183,0.528629,0.211908,0.254763,0.435989,0.445285,0.270316,0.356821,0.320473,0.517404,0.592238,0.278988,0.632212,0.444017
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.07059,2.75521,2.64538,2.04347,2.79585,0.84658,1.32819,2.13091,2.54527,2.31182,3.03196,2.9413,2.01135,3.41093,3.05343,2.61479,2.92963,2.83091,2.46834,3.5916,1.25562,2.67304,2.72346,1.98304,1.92773,2.27812,2.28327,3.31565,2.68291,3.3885,2.79771,3.02602,2.5062,2.30212,2.23149
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.338531,0.401344,0.440445,0.266115,0.486597,0.304082,0.30901,0.330377,0.394801,0.273641,0.424478,0.489998,0.213841,0.3076,0.559868,0.358609,0.353296,0.436031,0.418114,0.481765,0.182079,0.473886,0.377353,0.249453,0.300624,0.359092,0.641381,0.535542,0.350303,0.466473,0.411292,0.286117,0.277032,0.497346,0.343435
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.8034,3.12788,3.97417,3.89619,3.96883,5.24048,5.37275,4.65158,3.61907,2.94426,3.13228,5.02512,1.61448,4.83249,5.36445,3.31501,3.05675,4.62611,3.40201,3.87514,0.887631,3.3245,2.99306,1.37714,8.36742,3.21305,3.71971,3.85723,3.19407,3.36093,3.67574,3.78912,5.61854,3.62247,3.391
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.64156,1.55681,2.67726,2.72868,3.0019,7.08165,7.65206,5.0327,2.28901,2.26966,2.16066,6.03727,1.64813,3.68034,3.1564,2.78316,2.42808,2.61842,1.90028,1.79007,0.766708,1.96161,1.91196,1.14666,1.25173,2.46332,2.38651,2.21679,2.18118,2.262,3.03675,2.80543,3.81737,3.0217,3.78378
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.231692,0.349065,0.726838,0.269135,0.713839,0.56016,0.697837,0.526612,0.467539,0.272665,0.274368,0.6102,0.192796,0.14189,0.672674,0.563759,0.515451,0.520863,0.339308,0.0852874,0.0523013,0.352695,0.47778,0.143924,0.104857,0.559128,0.587472,0.317909,0.217273,0.191445,0.659625,0.426987,0.373745,0.615143,0.771443
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.07817,2.04484,1.91038,1.19046,3.77306,0.680026,1.32223,1.79247,2.33015,1.42959,1.95242,2.62951,1.12534,3.4444,3.96694,1.92219,1.94501,1.59455,2.50447,2.72383,0.744834,2.48897,2.53243,0.984422,1.16477,2.65339,2.94305,3.54166,2.64591,3.61749,2.56403,2.57938,2.97821,1.78478,2.58942
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.37689,3.78438,3.82922,1.10913,5.84201,1.03294,1.71966,2.35918,3.82904,2.01192,3.34206,3.15929,1.48004,4.6186,4.28052,2.3822,2.98605,2.55579,2.82371,4.50559,1.06363,3.21501,3.6794,1.30134,0.744442,3.63743,5.34088,3.34471,3.12045,4.78542,3.64628,3.38,3.27264,2.90496,3.85708
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.376181,0.734039,1.06526,0.330075,1.04469,1.00628,0.836239,0.695378,0.679178,0.39097,0.712807,0.745288,0.332712,0.672477,0.788924,0.454825,0.669023,0.698061,0.720287,0.808431,0.147593,0.724332,0.887861,0.217473,0.202901,0.672525,1.10571,0.388208,0.591668,0.758108,0.786305,0.826983,0.91717,0.762724,0.674949
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.236332,0.153956,0.150992,0.209791,0.178554,0.364226,0.189312,0.211233,0.223929,0.155336,0.231405,0.331315,0.17156,0.0964611,0.244077,0.186879,0.0567335,0.187528,0.312564,0.307531,0.102489,0.373714,0.205126,0.128117,0.209987,0.330085,0.15146,0.487178,0.252735,0.304698,0.174697,0.284495,0.146959,0.129334,0.0861433
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.436459,0.37111,0.34709,0.308286,0.665764,0.242485,0.393237,0.371814,0.442323,0.422148,0.510212,0.31466,0.327474,0.307803,0.550273,0.4148,0.527173,0.564052,0.485468,0.790374,0.202152,0.412914,0.573602,0.328792,0.210978,0.79141,0.451393,0.673216,0.696536,0.982044,0.46294,0.599975,0.474159,0.583808,0.306284
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.41559,2.07727,1.98871,3.39839,2.03293,13.5574,11.3248,8.06387,2.92026,3.84044,1.8554,8.06469,2.5872,3.62204,2.72909,2.77176,2.22586,3.64182,2.48062,0.201691,1.12117,1.78795,2.13754,1.05516,1.53625,4.22545,1.81084,3.35332,1.58094,1.78432,3.79919,3.76829,4.02821,3.7725,3.82106
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.8595,3.02023,3.53097,7.22535,2.72935,20.7584,19.5166,11.6666,4.54602,5.70939,3.67062,10.8833,3.88471,5.52606,5.02034,4.44931,3.61228,5.7332,3.90283,1.71444,1.42252,2.75504,3.01599,2.0654,1.53309,6.89172,2.88777,3.6568,2.81654,2.26895,6.58328,6.0564,6.98492,6.74442,6.09168
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.244477,0.609842,0.495904,0.286112,0.997998,0.285559,0.573673,0.832939,0.796379,0.300699,0.427328,0.745481,0.21626,0.93565,0.769075,0.549482,0.562635,0.490487,0.37706,0.802483,0.194999,0.76356,0.692045,0.233693,0.135403,1.06827,0.95197,0.782263,0.936555,1.00555,0.72863,0.580623,1.01939,0.757636,1.23098
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.734142,1.53425,1.5047,0.401571,2.38478,0.622111,0.745913,1.21107,1.38925,0.510538,0.913847,1.04965,0.811198,1.60163,1.12626,0.894727,1.29545,0.897401,0.867101,1.42461,0.267857,1.42296,1.60145,0.393351,0.185866,1.82599,1.60375,1.08,1.21853,1.4994,1.23754,1.14705,1.94931,1.23099,2.04065
{Neu5Ac(a2-6/8)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.33976,0.74606,0.917534,1.68228,0.665805,5.72145,3.89776,2.50764,0.928208,1.23734,0.689312,0.21848,1.0064,1.18673,1.04967,0.673205,0.482964,0.948806,1.01304,0.236149,0.237499,0.605681,0.371421,0.273281,0.473159,1.18114,0.585345,0.8364,0.703432,0.603856,1.42432,1.16951,1.46296,0.680495,1.48974
{Neu5Ac(a2-6/8)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.699438,0.944586,0.869808,2.40473,0.894164,8.48397,5.30975,3.67233,1.47288,1.37199,1.24438,2.26172,1.22862,2.07978,2.12816,1.16115,1.13198,1.65067,1.89945,0.511134,0.467504,0.825528,0.850726,0.736042,0.585112,2.61382,1.06413,1.20377,1.09562,0.87727,2.43902,1.98107,2.34943,1.92427,1.93937
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.127213,0.281112,0.345884,0.0654994,0.72192,0.282857,0.175562,0.339339,0.318788,0.182852,0.227965,0.116838,0.0976096,0.0543663,0.513635,0.272421,0.332972,0.217722,0.330123,0.502927,0.0708238,0.322707,0.40968,0.111693,0.0211416,0.132056,0.794411,0.297845,0.252518,0.379103,0.261899,0.390973,0.484201,0.38127,0.29872
