glycan,control_1,control_2,control_3,control_4,control_5,stage1_1,stage1_2,stage1_3,stage1_4,stage1_5,stage1_6,stage1_7,stage1_8,stage1_9,stage1_10,stage2_1,stage2_2,stage2_3,stage2_4,stage2_5,stage2_6,stage2_7,stage2_8,stage2_9,stage2_10,stage3_1,stage3_2,stage3_3,stage3_4,stage3_5,stage3_6,stage3_7,stage3_8,stage3_9,stage3_10,stage4_1,stage4_2,stage4_3,stage4_4,stage4_5,stage4_6,stage4_7,stage4_8,stage4_9,stage4_10,stage5_1,stage5_2,stage5_3,stage5_4,stage5_5,stage5_6,stage5_7,stage5_8,stage5_9,stage5_10
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.162543136,0.105647102,0.084129653,0.182882733,0.118422067,0.077646524,0.125131703,0.101592608,0.09526442,0.158961325,0.130219465,0.175583718,0.070043711,0.073749491,0.128010836,0.063797386,0.087276735,0.084543379,0.119577935,0.187680992,0.166410668,0.10628262,0.11337192,0.176045043,0.102961602,0.101076564,0.069859757,0.107189694,0.056160651,0.162470237,0.054607242,0.131648895,0.081805099,0.084067662,0.363066985,0.063161072,0.089417736,0.06759799,0.068652433,0.146410243,0.116831954,0.092645492,0.114014071,0.13814646,0.172585461,0.043905867,0.075420482,0.056703618,0.126311999,0.07063653,0.140547367,0.090675428,0.084733046,0.131375431,0.13683593
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.074174741,0.05357191,0.067080973,0.094667474,0.04842439,0.041872844,0.0727493,0.095148962,0.07088074,0.198626063,0.120556141,0.180815167,0.059417163,0.071309298,0.094190615,0.053013119,0.073158412,0.043761554,0.092254782,0.148672171,0.171364481,0.150071676,0.127465291,0.144509288,0.107033782,0.075934009,0.035215367,0.083587227,0.0577643,0.130071567,0.078426151,0.105973767,0.108233446,0.049317374,0.233273452,0.037114237,0.19519516,0.060022413,0.081642345,0.169821,0.103573915,0.138687313,0.101356881,0.070633806,0.173312316,0.035385323,0.038048476,0.027634713,0.064489152,0.029427677,0.077121287,0.070218725,0.080752466,0.095338424,0.106870565
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.13725957,0.088777586,0.050068158,0.090168688,0.061163408,0.061298922,0.071719577,0.080807787,0.091379285,0.09170752,0.10439183,0.122830998,0.051697525,0.059351226,0.100285737,0.058828707,0.145936332,0.053900366,0.117877497,0.119242975,0.157080185,0.102635296,0.085401623,0.140511299,0.081015345,0.05762712,0.083409456,0.075855057,0.052104218,0.116721808,0.047068066,0.121364305,0.067395564,0.051793752,0.215219491,0.059044748,0.055976213,0.059210201,0.092518894,0.115033933,0.103350986,0.08984258,0.087462377,0.100371856,0.134782862,0.034928656,0.056524517,0.040125598,0.103522136,0.075680813,0.088811429,0.070496233,0.09559165,0.061313256,0.089856065
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.038178174,0.037555753,0.027432463,0.048123332,0.048747584,0.037607383,0.046958721,0.031314692,0.041443692,0.057012264,0.064029055,0.067129109,0.062613589,0.100969768,0.101353073,0.045231541,0.046950069,0.038310683,0.05616606,0.052310227,0.083098706,0.048546812,0.065659014,0.085380936,0.154147029,0.043239977,0.039143585,0.037287725,0.042953793,0.064867495,0.069043579,0.072099532,0.099251723,0.039201371,0.065245421,0.037034778,0.058893182,0.092863773,0.046492134,0.066129441,0.081299769,0.06583409,0.080533749,0.069296372,0.06060636,0.043003744,0.059440514,0.01656367,0.059397898,0.031606285,0.036688766,0.03039984,0.052712982,0.016187455,0.041082721
GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.188956218,0.174217478,0.127676374,0.206330772,0.139159319,0.165213718,0.275092979,0.283455619,0.322335385,0.347285372,0.346312276,0.507628015,0.194848927,0.317247406,0.272646218,0.180248476,0.185961912,0.219802829,0.380179805,0.533991789,0.445492187,0.374539875,0.415319021,0.405989086,0.373683822,0.234227115,0.107670477,0.289212342,0.173183241,0.287526837,0.339583998,0.349278806,0.409025497,0.184968297,0.596793554,0.161452247,0.191644654,0.175467187,0.166813358,0.376782053,0.368888474,0.300475042,0.289928924,0.239385865,0.345081731,0.125045841,0.129612099,0.094290862,0.16839872,0.12610707,0.179192489,0.214294501,0.271774976,0.261779643,0.357731317
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.033347465,0.024338626,0.020138658,0.042568034,0.039051872,0.023160802,0.032610198,0.028682148,0.029712488,0.031180212,0.027344192,0.037102199,0.019395616,0.016641401,0.033155893,0.019623215,0.02275411,0.025783726,0.036793219,0.031347041,0.040460404,0.023741685,0.035168799,0.035943659,0.022562117,0.020681517,0.018620077,0.021160125,0.012106286,0.030854967,0.015616856,0.022223212,0.025297548,0.018386796,0.056671455,0.016612393,0.018460591,0.01056802,0.024719542,0.049986185,0.030380065,0.026949361,0.037167502,0.027545019,0.04142457,0.020315618,0.030863338,0.013035843,0.044463565,0.023294192,0.038524467,0.027625065,0.020136867,0.025434111,0.033531642
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.271675106,0.226860799,0.194164813,0.329535885,0.186964559,0.126949985,0.148999861,0.170010591,0.139158689,0.333937296,0.182714493,0.208945487,0.146926352,0.223719051,0.221964118,0.096586611,0.121803754,0.161679388,0.207595403,0.247617824,0.221859401,0.151592319,0.145223,0.303236121,0.343486646,0.143574954,0.145447038,0.121725146,0.137320303,0.272656555,0.228391976,0.182127854,0.166614798,0.100285666,0.346372376,0.122602477,0.192048909,0.128389506,0.167802482,0.277719888,0.210324557,0.151082135,0.217498798,0.229036048,0.232005069,0.093313955,0.171159567,0.120520693,0.196812829,0.155182121,0.201292957,0.170713492,0.179315344,0.155453096,0.221252691
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.075603236,0.092819089,0.063002929,0.117763376,0.115782651,0.094640845,0.097578872,0.08253659,0.091787783,0.224913299,0.166533876,0.190484774,0.085820737,0.127371533,0.155095391,0.10972739,0.166757868,0.094046483,0.10194627,0.160067052,0.192737201,0.183990674,0.150929855,0.160649954,0.151140428,0.106401852,0.084136257,0.107837519,0.168308975,0.146764638,0.216720121,0.168832116,0.146583446,0.070811715,0.175138078,0.065882495,0.878276647,0.154442431,0.292795177,0.177114625,0.185509339,0.15530878,0.112677913,0.061331632,0.170391569,0.082075728,0.072481116,0.053448219,0.099012704,0.067050243,0.071469477,0.08264382,0.161973675,0.070966947,0.113445356
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.307101044,0.205665564,0.186943043,0.447162382,0.301076359,0.128301412,0.193647008,0.165545048,0.155667618,0.290697852,0.248711882,0.335967122,0.073927698,0.103834462,0.260728524,0.08528901,0.082285428,0.140273726,0.244570319,0.316606685,0.438339294,0.254674329,0.175742887,0.363217081,0.171441341,0.140938289,0.083928629,0.188607518,0.129002851,0.241302542,0.068525735,0.297415599,0.171073014,0.125534614,0.755654261,0.093448853,0.191303691,0.122285183,0.092809753,0.142308532,0.368063846,0.092254916,0.215334118,0.264171541,0.380282415,0.095452372,0.134184831,0.09459209,0.201080077,0.179113264,0.192815648,0.141532071,0.161944403,0.233022191,0.337628139
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.141246279,0.213838685,0.088099899,0.127965493,0.157984849,0.101058247,0.106869927,0.145886536,0.138056523,0.251896604,0.19240941,0.239304524,0.234629194,0.341709293,0.243724245,0.108331073,0.096894881,0.16261841,0.26971006,0.236269436,0.183961349,0.181984999,0.143152029,0.252869757,0.556903474,0.162108017,0.13907888,0.116513097,0.133058773,0.194485969,0.319172502,0.218393704,0.278208254,0.115273937,0.310438731,0.138749938,0.103565963,0.102935804,0.158205193,0.270439478,0.232290215,0.254054499,0.22889484,0.157679234,0.231189023,0.083044706,0.123033121,0.107168967,0.146628082,0.185314042,0.156682058,0.13908043,0.16551448,0.154458438,0.210115882
