glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.59,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.26
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.34,0.00,0.00,0.66,0.00,0.85,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.00,0.00,0.00,0.46,0.00,0.30,1.18,0.59,0.00,0.38,0.24,0.00,0.95,0.53,0.00,0.58,0.00,0.81,0.00
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.97,1.19,1.06,0.81,0.00,1.05,2.95,1.40,0.00,0.68,0.58,0.57,1.57,1.04,1.03,0.66,0.95,0.80,0.61
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.73,0.00,0.47,0.00,0.00,1.09,0.67,0.00,0.88,0.00,0.71,0.00
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.75,1.99,0.00,0.00,0.00,1.23,0.00,0.97,0.00,0.56,0.00,0.00,0.00,0.00,0.55,0.00,0.75,0.00,1.26
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.66,0.00,0.54,0.00,0.00,0.00,1.39,0.57,0.00,0.44,0.00,0.00,0.00,1.41,0.00,0.43,0.00,0.61
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.30,2.37,2.71,2.87,2.03,2.57,7.03,3.41,1.55,1.97,1.20,1.96,6.53,3.52,2.33,3.95,3.47,1.72,1.12
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,3.69,3.78,4.07,3.92,2.89,3.48,9.42,4.69,2.35,2.80,1.65,3.06,8.40,5.10,3.99,5.41,4.37,2.39,1.57
