motif,pred
Man(b1-2)Man(b1-2)Man(b1-2)Man1P(a1-6)[Man(a1-2)]Man(a1-2)Man(a1-2)Man(a1-4)GlcNAc(b1-4)GlcNAc,0.418
Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-2)Man(bond)Gal(b1-4)Man(bond)[Glc(b1-3)]Gal(b1-4)Man,-0.248
GlcNAcA(b1-4)GlcNAcA(b1-4)GalNAcA(a1-4)GlcNAcA,0.245
GalNAc(b1-3)[Neu5Gc(a2-6)]GalNAc,-0.032
GalA(a1-2)Rha(b1-4)GalA,-0.199
Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,0.11
GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA,0.506
GalNAc(b1-4)GlcNAcOPCho(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.24
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal3S(b1-4)GlcNAc(b1-6)]GalNAc,0.028
Man(b1-5)Ara-ol,-0.135
Xyl(b1-4)Rha(a1-2)D-FucOMe,-0.364
Glc(a1-4)Glc(a1-4)[Glc(a1-4)Glc(a1-3)]Glc(a1-4)Glc(a1-4)Glc,0.108
Rha(a1-3)[Glc(a1-6)]Glc(b1-3)[Glc(a1-4)]GalN2Ala(a1-3)LDManHep6P7Cm(a1-3)LDManHep2PPEtn4P(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN2Lau3Dco4P(b1-6)GlcN1P2Lau3Dco,0.151
D-Rha(a1-6)Man(a1-6)Man(a1-5)Kdo(a2-6)GlcN(b1-6)GlcOPN,0.057
Gal(b1-4)GlcNAc(b1-2)Man(bond)[GlcNAc(b1-2)Man(bond)]Man(b1-4)GlcNAc(b1-4)[Fuc(bond)]GlcNAc,-0.024
D-Rha(a1-3)[Xylf(a1-4)]D-Rha(a1-2)D-Rha(b1-3)D-Rha,0.294
GlcNAc(b1-3)Glc(a1-3)LDManHep(a1-3)Glc(b1-4)LDManHep(a1-5)Kdo(a2-4)Kdo(a1-5)LDManHep,0.071
Gal(bond)[Neu5Ac(bond)Gal(bond)GlcNAc(bond)]GalNAc,-0.214
[Man(a1-3)Fuc(a1-2)]Gal(a1-6)Gal,-0.131
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,0.14
[Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)[Araf(a1-2)Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)[Gal(b1-2)Xyl(a1-6)]Glc(b1-4)Glc(b1-4)Glc,-0.061
[QuiNFo(a1-3)]DDManHep(b1-3)Gal(b1-3)GlcNAc(a1-3)GlcNAc(b1-2)DDManHep,0.016
GlcA(b1-4)GlcA(b1-3)GalA2S(a1-4)Gal,0.372
GlcA(b1-3)Gal(b1-3)GalNAc(a1-4)GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[GlcA(b1-3)Gal(b1-3)GlcNAc(b1-2)ManOS(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.369
Neu5AcNAc(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,-0.305
Man(a1-3)[Man(a1-3)[Glc(a1-3)Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,-0.258
D-FucNAcN(a1-4)GalA(a1-3)GalA(a1-3)D-FucNAcN(a1-4)GalA(a1-3)GalA(a1-3)D-FucNAcN,0.152
[Gal(a1-6)]Glc(b1-3)GalNAc(b1-3)Glc,0.046
[Glc(b1-3)][ManNAc(a1-4)]GalNAc(a1-4)ManNAc(b1-4)[GlcNAc(b1-3)]GlcNAc(b1-6)GalNAc,0.333
D-RhaNAc(a1-3)Fuc(a1-4)Glc6Ac(b1-3)GalNAc(a1-2)D-RhaNAc,0.442
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,-0.175
GalA(a1-3)Rha(a1-3)Man(a1-4)GalA,-0.013
Fuc(a1-3)GlcNAc(b1-3)GlcNAc(b1-3)[Fuc(a1-4)]Glc1Etn2Ac,1.055
[Gal(b1-4)Man(b1-6)]Glc(a1-6)Glc(a1-3)[Gal(b1-6)Glc(a1-6)Glc(a1-6)Glc(a1-6)]Glc(a1-3)Glc,0.034
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-7)DDManHep(a1-2)[Glc(a1-3)Glc(a1-4)Gal(b1-7)]DDManHep(a1-2)LDManHep(a1-3)LDManHepOP(a1-5)Kdo,-0.245
Rha(a1-2)Fuc(a1-2)Gal(a1-2)Fuc(a1-3)GlcA,-0.146
GlcNAc(b1-4)[MurNAc(a1-3)]GalASer(a1-4)Rha(b1-4)GlcNAc,0.017
ManNAc(b1-2)Rha(a1-3)Rha(a1-3)Rha(b1-4)GlcNAc1PP,0.03
Fuc(bond)[Gal(bond)]HexNAc(bond)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,-0.0
Glc(b1-4)[Rha(a1-3)Rha(a1-4)GlcA(a1-3)]Man(a1-3)Rha(a1-3)Glc,0.218
Fuc(a1-4)[GlcNAc(b1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,-0.029
[Gal(a1-2)Rha(a1-3)]Man(b1-4)Man(b1-4)Gal(a1-3)[Glc(a1-2)]Gal(b1-4)Man,-0.048
D-4dAraHex(b1-2)D-4dAraHex,-0.109
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc,-0.214
QuiOMe(b1-4)DigOMe(b1-4)Dig,-0.101
GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-2)GalALys(a1-3)GalNAc,0.304
Xyl(b1-3)D-FucNAcOAc(b1-4)PseNAcNFo,0.003
QuiNBut(b1-2)Ribf(b1-4)Gal(b1-3)D-FucNAc(a1-2)QuiNBut,-0.311
Neu5Ac(bond)[Neu5Ac(bond)Gal(b1-4)]GlcNAc(b1-2)[Neu5Ac(bond)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(bond)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.034
GlcNMeOCm1Pam(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)[FucOAcOMe(a1-6)]GlcNAc,-0.049
Glc(b1-3)D-6dTal(a1-3)Fuc,0.153
Glc(a1-3)FucNAc(a1-3)GlcNAc(b1-2)Rha(a1-6)Glc,-0.066
Glc(a1-3)Glc(a1-3)Glc(a1-6)Glc,-0.175
[Glc(b1-6)Gal(b1-3)]Man(a1-4)Glc(a1-2)Rha(a1-6)Glc(b1-4)Xyl(b1-5)D-Araf(b1-6)Man,0.136
Xyl(b1-4)Rha(a1-4)[Xyl(b1-3)]Glc,-0.038
FucOMe(a1-3)DDGalHepOMe(b1-3)GlcNAc(a1-2)Man(b1-3)ManNAc(b1-4)Gal(a1-4)DDGalHep(b1-3)GalNAc(b1-3)Gal(a1-2)Man(a1-6)[Gal(a1-2)]Man(a1-4)Man(a1-5)Kdo,0.009
Gal(a1-6)[Glc(b1-2)]Gal(a1-6)Gal(a1-6)[Glc(b1-2)]Gal(a1-6)Gal,-0.538
Rha3Ac(a1-3)[Glc(a1-4)]GlcNAc1Prop,0.108
Neu5Ac(bond)Gal(bond)GalNAc,0.0
D-Fuc3NAlaAc(a1-4)[GalNAc(b1-3)]Gal(b1-2)Ery-ol,-0.001
Man(b1-2)Man(b1-2)Man1P,0.406
Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.188
ManNAcA4Ac(b1-3)FucNAc(a1-3)D-FucNAc(a1-3)ManNAcA4Ac,0.064
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.199
Glc(b1-6)GalNAc(a1-6)Gal(a1-4)[Glc(b1-3)]GalNAc(a1-3)D-6dXylHexNAc4Ulo(b1-3)[DDManHep(a1-7)LDManHep(a1-7)][Glc(b1-2)]LDManHep(a1-3)[Glc(b1-4)]LDManHep(a1-5)[Kdo(a2-4)]Kdo,-0.475
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.19
Neu5Ac(bond)Gal(bond)GlcNAc(bond)[Neu5Ac(bond)Gal(bond)GlcNAc(bond)]Man(bond)[Man(bond)Man(bond)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.143
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,-0.173
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-4)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.18
GlcA(b1-3)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.24
Kdo(b2-3)GalOAc(b1-4)Gal(a1-3)Gal(b1-5)Kdo,-0.198
Glc2Ac3S(a1-2)[Gal3S(b1-4)]Rha(a1-6)Glc2Ac3S,0.005
Gal(a1-3)FucNAc(a1-3)Rha(b1-4)[Glc(a1-3)]Rha-ol,-0.077
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(bond)[GalNAc(b1-4)GlcNAc(b1-2)Man(bond)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.296
Gal(a1-3)[GlcNAc(b1-3)Gal(b1-4)]Gal(b1-4)GlcNAc(bond)Man(bond)Man(b1-4)GlcNAc(b1-4)GlcNAc,0.21
Man(a1-2)[Xyl(b1-4)]Man,-0.22
GalOS(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,-0.18
GalNAla(a1-3)LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,-0.152
[Glc(b1-3)]GlcNAc(b1-2)Rib1P(1-4)GlcNAc,-0.199
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,-0.16
