glycan,Pro_1,Pro_2,Pro_3,Pro_4,Anti_1,Anti_2,Anti_3,Anti_4
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.617042773,1.323240718,0.858968367,0.422484796,0.415378186,0.861948644,0.807738846,0.446750806
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.968614581,1.386870664,1.61615793,2.148126923,2.943499657,1.557233368,2.101431551,2.07449635
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.394956727,0.290505256,0.364731908,0.287729082,0.106779207,0.121879516,0.185377766,0.065653479
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.004112705,0.149601866,0.111315048,0.135030352,0.242339299,0.277663298,0.266211676,0.308916894
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.247996085,0.350322171,0.201261845,0.343297505,0.201536913,0.427677311,0.371355784,0.394688749
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0361918,0.054991048,0.132859896,0.123129372,0.135772236,0.067643681,0.057023922,0.090763055
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.057852044,0.344185575,0.107371046,0.098045768,0.09164626,0.097976185,0.062126062,0.044460075
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}{Neu5Ac(a2-6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.53300651,0.133873115,0.125030757,0.429350747,0.556171166,0.522191633,0.41237299,0.677190676
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.450276716,1.648480299,1.230940756,1.261046169,0.761385245,1.141150547,1.052941709,0.567921787
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.847902589,0.719649916,0.90853329,0.586626777,0.288586717,0.236395707,0.501210258,0.202565938
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-3)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.114059006,0.350500907,0.158937403,0.147114424,0.116537836,0.091656913,0.049870921,0.074176913
{Fuc(a1-3)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.752971772,0.712500484,0.688316688,1.441574884,1.392018997,0.948330339,1.00367104,1.293488711
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.665435597,0.626528563,0.433722514,0.473659011,0.391335186,0.313490821,0.302226784,0.222607526
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.124752038,0.07661808,0.015599412,0.339727211,0.569182672,0.312886369,0.152113812,0.345314261
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.177943017,0.147218722,0.132153508,0.173754311,0.284555979,0.315084376,0.458042149,0.273057041
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.337653044,0.425093315,0.184426254,0.206161595,0.433481151,0.442733662,0.443335979,0.436845193
{Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.093906754,0.080848161,0.133801747,0.068476409,0.111729236,0.118802306,0.1261029,0.067573171
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.212352645,0.120646666,0.12361798,0.166064447,0.444159071,0.372342472,0.263210417,0.466024517
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.993903601,0.799366084,0.497944998,0.578021453,0.890368869,0.87848865,0.574991209,0.512327496
{Gal(b1-4)GlcNAc(b1-4/6)}{Neu5Ac(a2-3)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.467340328,0.171109741,0.250002649,0.235456316,0.132024357,0.112977586,0.051771718,0.069185713
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.746867147,0.297833424,0.230282638,0.656751014,1.013483173,0.516476814,0.44538684,0.651850737
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.832411402,0.576959168,0.400639988,0.348607173,0.317296888,0.295027558,0.192880914,0.131767683
{Man(a1-2/3/6)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.280091631,5.39996604,5.76042129,5.295569997,5.357063303,6.482638488,5.281965785,5.082961425
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.105148146,0.110399147,0.120086038,0.274363366,0.300608217,0.25463917,0.229846421,0.388545733
{Neu5Ac(a2-6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.165467813,0.164377359,0.144750768,0.091454455,0.359372138,0.336459999,0.166569876,0.300239885
{Neu5Ac(a2-3)}Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.084721714,0.045160579,0.023016491,0.150318534,0.112012095,0.062533314,0.043918424,0.099670427
{Man(a1-2/3/6)}Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.912149889,6.501931836,7.447041469,5.96541209,6.263837984,8.617288428,7.882256607,5.547066249
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,5.083988282,5.179227325,5.354718852,5.599868906,5.750802789,7.275404846,5.363199862,4.918021458
