glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.281539358,1.200586518,1.202743239,1.318419908,0.709767583,0.540113045,0.617520958,0.550618869,0.281378682,0.194040836,0.356484121,0.236484752
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.031794751,0.033982824,0.035799718,0.02587799,0.165953003,0.183336426,0.155728143,0.17775148,0.114365879,0.132148072,0.158086185,0.126991305
{Man(a1-2)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.097243409,0.14830255,0.114457469,0.148696164,0.141291582,0.016717069,0.113649015,0.073911707,0.032109867,0.013104624,0.016083149,0.014612848
{Man(a1-2)}{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.002306517,0.000481499,0.00140345,0.001899478,0.002196067,0.001071347,0.002364849,0.00170696,0.002281441,0.013190232,0.002751634,0.004611985
{Man(a1-2)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.025305747,0.016883437,0.03030392,0.017940988,0.076700759,0.051601738,0.046004845,0.054972642,0.05080772,0.049006731,0.05267277,0.06000036
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.291185734,0.30477539,0.260853908,0.249163284,0.178243172,0.201977059,0.200197976,0.165519777,0.068964953,0.036336774,0.068866907,0.080518003
{Man(a1-2)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.061693285,0.063299253,0.056734535,0.107912173,0.067655288,0.057587323,0.048575758,0.050533475,0.024656412,0.023037269,0.005454912,0.007962099
Gal(b1-4)GlcNAc6S(b1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.017187698,0.022248531,0.02248062,0.034378187,0.021117745,0.040291624,0.048498968,0.074527341,0.06599203,0.047894653,0.043365471,0.05655515
{Man(a1-2)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.014196434,0.012354988,0.014328812,0.013945868,0.006146913,0.027199393,0.028582969,0.029920489,0.038307333,0.050139324,0.03008082,0.105458579
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.020882432,0.017295159,0.01741982,0.021734516,0.090078902,0.055524147,0.063962594,0.054571691,0.108981364,0.091551339,0.122761317,0.07639282
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.017283098,0.010398161,0.011647881,0.011893356,0.046056023,0.046265679,0.033540342,0.049958873,0.063803831,0.054018985,0.065737776,0.044016392
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.221173213,0.214124476,0.239127244,0.186583263,0.254374078,0.150424271,0.198081704,0.217914217,0.096984898,0.093582926,0.058023336,0.062960913
