glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
{HexNAc(?1-3/4/6)}{Fuc(a1-2/3/4)}Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,0.0119179,0.012802,0.2738255,0.0353152,9.77E-03,0.0116297,0.0217089,8.73E-03,5.25E-03,0.0229013,0.0124751,0.0340858,2.25E-03,0.0243922,9.44E-03,5.89E-03,8.34E-03,5.09E-03,8.94E-03,0.010212,0.0133935,6.94E-03,0.0880268,7.58E-03,0.0295834
H4N2,0.0336628,0.0398558,0.022494,0.0253511,0.0191254,0.0311512,0.0231794,0.0179658,0.0106914,0.0235642,0.032502,9.73E-03,0.0202163,0.0163026,0.0301585,0.0194592,0.0189794,0.0148207,0.0284878,0.0215464,0.0202003,0.0115434,0.0143432,0.0151143,0.0270892
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,4.348996,5.0368975,2.5239435,1.1246308,3.4471446,4.0438052,2.9391486,3.1206732,2.1063263,4.1194033,4.2459468,2.1633728,3.5084904,1.9695765,4.1154344,3.3110867,3.5112741,3.3582726,4.4236796,5.1580324,2.0812852,3.9700149,2.9716806,3.1305767,4.7219448
H2N1S2,0.0149391,6.03E-03,4.58E-03,0.040653,0.0394906,6.96E-03,0.0232912,0.0255482,0.0118811,0.0108576,0.0231242,0.0432401,0.0272446,0.0248658,3.18E-03,0.0220444,0.0206159,0.0140738,6.59E-03,0.0105994,0.0137934,0.0856818,6.19E-03,0.0135774,0.0129644
H2N1S2,0.0116005,9.03E-03,9.12E-03,0.0143642,8.81E-03,7.36E-03,8.45E-03,3.28E-03,3.84E-03,0.0235708,6.50E-03,7.02E-03,3.32E-03,4.06E-03,4.86E-03,0.0263339,0.0102702,0.0106915,6.01E-03,4.76E-03,0.0178788,4.62E-03,0.0116694,0.0157597,0.0117801
H3N2S1,0.0123565,6.74E-03,0.0184211,0.0108011,0.0106624,0.021642,0.0133748,0.013044,4.93E-03,0.0251858,0.0147208,0.0155799,0.0150311,0.0231965,0.0285257,0.0435448,0.031858,7.15E-03,0.0248909,1.10E-03,0.0187805,6.57E-03,0.0129779,0.0111373,0.0301142
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.3215239,0.2079269,0.0491858,0.0763379,0.1133113,0.4296336,0.3710027,0.2316581,0.0360251,0.3291938,0.0604921,0.0979095,0.0676678,0.129586,0.0991479,0.2228803,0.4673962,0.0936867,0.3281413,0.1921619,0.0212246,0.043043,0.3311462,0.1036366,0.2822594
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.1035241,0.1383693,0.0434185,0.0646791,0.0563422,0.0384472,0.2766979,0.416881,0.3011109,0.0834961,0.0545359,0.1376591,0.152141,0.5323139,0.0504487,0.0903802,0.2914947,0.3177145,0.0921265,0.1352693,0.0669401,0.0700573,0.495639,0.2736866,0.0727873
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0.0506106,0.0622955,0.205706,0.0672897,0.0300844,0.0380885,0.0903301,0.1032805,0.0234848,0.0481533,0.0522528,0.0411108,0.0622741,0.0283027,0.02277,0.0591478,0.0623889,0.0214434,0.0456276,0.0304335,0.0666529,0.0148275,0.0652679,0.0331632,0.0306512
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,3.8296832,3.7767119,6.9671844,2.1486702,2.8737471,5.2643165,4.5714258,4.7470335,4.0553743,3.9445842,3.2870393,2.3018752,6.4183784,1.7981525,4.3355615,6.1207093,5.6832334,4.253655,4.0287401,3.8491072,4.1532031,2.5454098,3.8834118,4.0635048,4.3741519
