glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
{Man(a1-2)}Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.3323284,1.3761594,1.153151,1.9535808,1.4028033,2.1877161,1.8124796,1.5908125,1.8007867,1.8356626,1.2879183,1.3783744,1.6120256,1.5626092,2.4255647,1.8873451,1.5485609,2.0193552,1.7405755,1.649104,1.565919,1.91681,2.0411856,2.202266,1.6500803
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0759856,0.0925428,0.0269514,0.0971772,0.0256495,0.0716051,0.089248,0.0569694,0.0190523,0.0853678,0.078868,0.1109032,0.0845131,0.0117032,0.1078224,0.0474264,0.0423675,0.0172625,0.0268244,0.1000154,0.1019545,0.0186425,0.0404116,0.0104341,0.0989987
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0596249,0.055496,0.0540798,0.0438307,0.0584947,0.0468873,0.0831425,0.1057171,0.0858923,0.0778803,0.0608097,0.0708669,0.0832655,0.0378157,0.0900321,0.1683724,0.1077075,0.0819276,0.0559591,0.0576605,0.0758116,0.0496903,0.0319816,0.0899621,0.0501563
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0592219,0.0569203,0.0540798,0.0438307,0.0584947,0.0468873,0.0831425,0.1057171,0.1173561,0.0820774,0.0745186,0.0627191,0.0968266,0.1352501,0.0927861,0.1044094,0.0969413,0.1065328,0.0470503,0.0603417,0.0319427,0.0901062,0.0468818,0.1319658,0.0767036
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2536502,0.2108954,0.2443749,0.1326116,0.241787,0.1535776,0.2244248,0.0809601,0.1808466,0.1875372,0.0797462,0.1824341,0.184189,0.3255394,0.1376264,0.1111389,0.1178234,0.1533168,0.1342153,0.1028332,0.1522291,0.2249751,0.2582221,0.1742675,0.2550099
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.3060147,0.3112192,0.1899546,0.3365759,0.3857297,0.1746466,0.3501448,0.2815717,0.2674732,0.3495952,0.2258961,0.4767172,0.3401327,0.5778506,0.3226434,0.395321,0.2635078,0.2664099,0.3693431,0.2967027,0.2249763,0.283241,0.2651782,0.301493,0.3001307
{Man6P(a1-2)}{Man(a1-2)}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0787918,0.0788366,8.79E-03,0.0264025,0.0784992,0.0110821,0.1186326,0.0471483,0.0779123,0.0829605,9.63E-03,0.0469452,0.1119046,0.028959,0.1099828,0.0324958,0.0217903,0.0294452,0.0429256,0.0235923,0.0893565,0.0921028,0.0343052,0.0284497,2.32E-04
{Man6P(a1-2)}{Man(a1-2)}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0198754,0.0636672,2.61E-03,8.68E-03,0.0177744,9.55E-04,0.0670561,0.0216728,0.0482453,0.0169428,7.44E-03,1.10E-03,0.0720963,0.019516,0.0742935,0.0179982,1.07E-03,4.32E-04,9.95E-03,8.67E-03,4.25E-04,0.0346206,0.0229316,0.0134465,2.85E-03
{GlcNAc(b1-4/6)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0217129,0.0321007,0.0381076,3.67E-03,0.0226171,0.0800234,0.1160646,0.0497121,0.0601583,0.0231189,0.0168243,0.0377571,0.0218666,0.0406858,0.0524839,0.0472888,0.0665278,0.0587067,5.15E-03,0.0141359,0.0226448,0.0362041,0.0146631,0.0476678,0.0331009
{GlcNAc(b1-4/6)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0313694,1.54E-03,0.0150899,1.08E-03,9.51E-03,0.0216564,0.0635903,0.0133153,5.70E-04,0.0194466,6.13E-03,1.25E-03,8.19E-03,1.31E-03,7.46E-04,0.0413774,0.0231802,7.40E-04,9.27E-03,0.0141359,6.53E-03,2.13E-03,0.01095,0.0142701,0.0156396
