glycan,healthy1,healthy2,healthy3,healthy4,healthy5,infected1,infected2,infected3,infected4,infected5
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.595011024,0,0,0,0,0,0,0,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]GalNAc,0.802182014,0.225592112,0,0.328339793,0,0,0,0,0.210216237,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.195164556,0.109220265,0,0.160130368,0,0,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0.269814581,0.523707053,0.688671461,0.164343955,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0.76097097,0,0.183397865,0.584024899,0.236426032,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.674571184,2.699865083,11.82328677,1.818973703,1.537898868,3.92772755,11.14369976,12.15906823,2.336564539,1.930766185
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.902265464,1.654981271,0.331290548,0,0
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0.741654202,1.780570463,0.267332455,0,0
HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-3)[HexNAc(?1-3/4/6)GlcNAc(b1-3/6)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.007648636,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]GalNAc,7.90926596,1.627500012,0,1.057145495,0.641562406,3.527964013,0,0,2.457396839,0
