glycan,stage1_A21,stage1_A22,stage1_A23,stage1_A24,stage1_A25,stage1_A26,stage1_A27,stage2_B21,stage2_B22,stage2_B23,stage2_B24,stage2_B25,stage2_B26,stage2_B27,stage3_C21,stage3_C22,stage3_C23,stage3_C24,stage3_C25,stage3_C26,stage3_C27,stage4_D21,stage4_D22,stage4_D23,stage4_D24,stage4_D25,stage4_D27,stage4_D28,healthy_E21,healthy_E22,healthy_E23,healthy_E24,healthy_E25,healthy_E26,healthy_E27,healthy_E28
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.124171,0.207699,0.145381,0.230195,0.152916,0.116013,0.0853138,0.245835,0.154411,0.178981,0.127797,0.156198,0.234892,0.179336,0.371907,0.173117,0.211248,0.125671,0.15074,0.180145,0.204115,0.113414,0.149251,0.172659,0.129949,0.148726,0.172876,0.192284,0.220673,0.407629,0.19758,0.259487,0.243676,0.17695,0.420015,0.422645
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.349483,0.464699,0.281016,0.528412,0.450795,1.15202,0.385437,1.13075,0.725324,0.58602,0.422195,0.343425,1.171,0.746776,0.553538,0.871359,0.770262,0.219124,0.364989,0.388661,0.73738,0.326557,0.385685,0.365775,0.498682,0.600104,0.498833,0.553887,0.465133,1.85893,0.235966,0.337012,0.800649,0.598669,1.25793,1.49333
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.190512,0.17306,0.12063,0.180621,0.170721,0.106344,0.154696,0.180188,0.234519,0.283137,0.124986,0.125249,0.276518,0.143243,0.223986,0.242441,0.188203,0.11819,0.194585,0.112242,0.411975,0.386451,0.10493,0.208496,0.17728,0.214103,0.171737,0.224058,0.206708,0.231462,0.13677,0.152044,0.0515936,0.177504,0.249206,0.17345
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.436103,0.33376,0.421889,0.389281,0.502519,0.442928,0.268433,0.540015,0.444527,0.718075,0.313208,0.296748,0.394193,0.444057,0.531314,0.288259,0.466741,0.263215,0.41994,0.367399,0.810943,0.254977,0.276409,0.323973,0.35099,0.325559,0.299095,0.411041,0.488462,0.919872,0.515952,0.771977,0.477943,0.45187,0.842034,0.708083
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.16605,4.19816,2.83645,1.39059,1.79978,3.28211,2.05661,6.93156,3.55777,3.13836,4.07602,2.11791,1.19464,2.40892,2.85716,4.69112,3.72157,2.44585,2.29243,2.37079,3.50902,1.06063,3.39351,1.29785,2.30787,3.88445,3.06614,3.84571,3.33864,8.61113,1.75697,2.00667,3.36357,2.55337,6.8624,3.98909
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0838905,0.0754012,0.0723524,0.122087,0.14565,0.169172,0.187988,0.208765,0.160946,0.0804525,0.160427,0.100542,0.207357,0.142823,0.236118,0.408373,0.129414,0.14105,0.0943583,0.0718828,0.191504,0.0198129,0.14211,0.147383,0.208199,0.208981,0.211426,0.137769,0.177751,0.429056,0.215056,0.135875,0.249454,0.244594,0.46432,0.43756
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.811302,1.64183,1.28514,0.721121,0.44625,1.78891,0.598637,0.474781,0.680119,1.73379,2.20929,0.852261,0.825809,0.856998,0.236822,1.8787,1.25872,0.235051,0.961664,1.70107,1.06312,0.399532,0.751836,0.517459,0.218784,0.64609,0.647299,2.67001,0.985918,2.16195,1.25766,1.77879,1.34735,3.59909,1.60537,0.600293
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.899907,0.736727,0.453846,1.12465,0.446518,0.494648,0.894472,0.512934,0.81106,0.718539,0.332769,0.481243,0.846359,0.472935,0.728091,1.14371,0.430792,0.627034,0.638538,0.580657,0.555383,0.713511,0.701645,0.418915,0.448161,0.932969,0.523168,0.590269,0.436126,0.41126,0.348049,0.368293,0.459674,0.558833,0.260703,0.279849
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0787926,0.142961,0.160718,0.219423,0.175241,0.156085,0.135526,0.327227,0.186898,0.126867,0.232116,0.174315,0.102604,0.144354,0.24604,0.257584,0.145881,0.0949937,0.271864,0.0877616,0.181352,0.137711,0.183625,0.107515,0.241508,0.276066,0.15034,0.157264,0.406025,0.564797,0.271048,0.402625,0.209152,0.241173,0.467838,0.396275
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.234938,0.148335,0.218277,0.200779,0.26751,0.22788,0.216606,0.0832149,0.258621,0.198076,0.176254,0.156595,0.175079,0.185402,0.253086,0.194013,0.205945,0.126306,0.178163,0.409327,0.217873,0.122284,0.216111,0.257724,0.200318,0.143461,0.138732,0.24651,0.205948,0.142779,0.194657,0.236853,0.155472,0.166994,0.0900681,0.197042
