glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,1.735143374,0.476368185,1.097953608,0.548485097,2.606325315,0.864717152,1.007566981,0.928489826,2.806430886,0.436043458,2.56054127,1.310652361
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.085481244,0.311623347,0.078196841,0.320436101,0.13719198,0.332812704,21.90645054,0.091911058,0.147229335,1.622344411,0.064437172,0.153512863
Neu5Ac(a2-3/6)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.192280607,0.526469598,0.160855501,0.22084849,0.023822623,0.533577871,0.483579463,0.229078872,0.151130811,1.344341866,0.086165842,0.340453434
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.619614656,0.32874592,2.350586293,0.061361529,0.053144005,0.366122428,0.056783372,4.347643816,11.00759407,2.425166389,0.069277798,0.391020925
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,3.88299719,0,0,0,0,0,0.48452084,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,4.71149457,0,5.206155829,0,5.13166588,4.829467413,1.308023814,0,3.496582278,0,7.191552381,2.479645331
Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,1.572938593,0.521155021,0.949687438,0.30681785,0.618952172,0.819390475,0.691589455,0.846891025,1.132962875,0.168287229,0.706677605,0.598393197
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.627109803,1.373838849,0.437898087,1.280384265,0.284060816,1.394582869,0.114141086,1.131771071,0.462729911,0.200192612,1.217831851,0.561454537
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.481031931,0.565426359,0.086165842,0.060066335,0.019426306,0.525172693,0.046588533,0.162905699,0.065882282,0.015904421,0.027732085,0.105920697
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[GlcNAc(?1-?)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.549909032,0.31514518,0.915289746,0.635021428,3.296800181,0.622603399,0.660326277,1.069176291,2.039784316,0.469114958,3.629323003,1.684308729
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.437898087,0.310582089,0.182487997,0.520583179,0.711895249,0.650412397,2.578921576,0.728705078,0.324228655,14.86890389,0.45322271,5.552752881
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,1.940985879,0.369785924,0.358141887,0.252858026,0.351232113,0.396249406,0.303273793,0.16460619,0.311244403,0.044677168,0.173149242,0.141046039
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,1.298041296,0,0,0,0,0,0.081551566,0,0,0,0,0
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.87364357,2.978789523,1.029171739,2.122951564,0.242373388,2.813063824,0.36655194,1.448032236,0.394538378,0.369137339,0.497310295,0.136156552
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)]GalNAc,1.406815226,0,0.952858481,0,1.279844033,0.743140595,0.68904178,0,1.278605478,0,1.449280305,1.321542996
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc,1.914280739,0.804273908,1.620283406,0.576082975,1.307861718,1.348204858,0.914565289,0.916599753,2.097404452,0.559325693,1.406780531,1.130863802
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,1.010989617,0.277920108,0.10945947,0.238688149,1.967616551,0.317926587,4.350717201,0.317734169,0.656136147,8.121290608,1.53147341,1.721880972
Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0.149574379,0.097605942,0.059477713,0.07398027,0.206690272,0.127666956,0.017111623,0.215863905,0.121156649,0.182097995,0.052229913,1.109065976
