glycan,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0.6,0,0,1.1,0,0,4,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,51.3,6.3,5,2.1,5.2,22.3,3.6,10.8,23.8,8.7,0.7,2.2,15.4,7.2,21.9,35.6,17
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,2.6,0,0,0,0.7,0,0,0,0,0.2,4,0,0,0,0.7,0.7
Gal(a1-3)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,1.9,0,0,0,0,0,2.3,0,0,0,1.1,0
Neu5Ac(a2-3)Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Fuc(a1-2)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.1,2.2,0,0.3,0.1,1.2,0,3.2,2.1,1.6,0.1,3,0,0.8,0.8,0.2,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.4
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,3.2,0,0.2,0,0.4,0,0.7,0.6,0.5,0.1,4,0,0.6,0.2,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc,0.5,0.6,2.2,1.4,2.9,0,0.2,1,1.5,0,0.1,2.2,0,0.5,0.5,0,0.4
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,2.9,0,0,0,0,0,0,1.9,0,0,0,3.6,0.3,0,0.4
HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.3,0.3,1.7,0.6,1.2,2.4,0,2.3,1.8,1.3,0.3,1.9,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.2,0.4,5.6,0.5,0.5,0.6,2.9,0.9,0.5,3.2,0,2.9,0,0,1,0.2,0.3
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0.1,0.8,0.2,0.3,0.4,1.9,0.3,0,0,0,0,0,0,1.2,0.2,0
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
{Neu5Ac(a2-3/6)}Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3/6)}Gal(b1-4)GlcNAc6S(b1-6)[Gal(b1-3)]GalNAc,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc6S(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.1,0.1,0,0.6,2.6,0,0,0,0,0,0,0,10.7,0,0,0,0
Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0
GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-4)Gal(b1-3)]GalNAc,0.7,1,1.4,1.8,3.1,0.3,0.4,1.2,1.1,2.1,0.1,2.2,0,1,0.3,0.6,0.6
GlcNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-?)Gal(b1-3)]GalNAc,0,0,0,0,0.4,1.1,0,0,0,0,0,1.6,0,0,0,0,0
Fuc(a1-2)Gal(b1-4)GlcNAc6S(b1-6)[HexNAc(?1-4)Gal(b1-3)]GalNAc,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,2.9,0,0,0.2,0.4,1,0,0,0.8,5.5,0,0,0,0.3,0.6,3.5
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,2.1,0.3,0,0.3,0.3,0.9,0.4,0.7,1.2,1,0,0,0,0,1.7,0.3,0.8
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.3,0.6,0,0,0.5,0,0.1,0.3,1,0.3,0.8,0,0,0,0.7,0,1.9
Fuc(a1-2)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0.2,0,0,0,0,0,3.9,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,0,0.2,0,0,0,0,0.2,0,0,0,0.1,0,0,0.1,0.1,0.2,0.3
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)]GalNAc,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,2.8,0,0,0,6.3,0,0,0,0,2.4,3.2,0,2.2,0.4,14.1,2
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[GalNAc(b1-4)GlcNAc6S(b1-6)]GalNAc,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
