glycan,  SW480, SW480-Vumc, T84, LS411N, HCT8, HT29-Vumc, HT29, SW620,  LS174T, C10, HCT116, HCT116-Vumc, LS180, COLO205, LOVO, SW48, SW1116, CaCo-2, RKO, CO115, SW1398,  WiDr, SW837,COLO320, SW1463 , DLD-1, HCT15, SW948, KM12
H4N2F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3/4)GlcNAc(b1-3)]Gal(b1-3)GalNAc,0,0,0.97,0,0,0,0,0,0.58,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,2.71,0.39,0,0,0,0,1.05,1.33,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N3F1S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0
H2N2F1S2Su1,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,1.04,0,0,0,0,0,0,0,0,0
Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,0,0,0.79,0,0,0,0,0,1.34,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4N4F1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc6S(b1-3)Gal(b1-3)GalNAc,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
{Neu5Ac(a2-3)}Gal(b1-3/4)GlcNAc6S(b1-3)[Fuc(a1-2)]Gal(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0
H4N4Su2,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4N4Su2,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0,1.06,3.56,0,3.2,3.84,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,4.83,6.21,0,0,0,0,2.06,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,5.66,0,0,2.52,0,2.8,0.75,0,0,5.76,0,0,4.84
H3N3S2,0,0,0,0,0,2.41,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0,0,0,2.74,22.1,0,0,11,0,5.94,8.14,2.3,0,0,0,0,0,0,0,0,0,0,9.25,0,0,14.7,9.17,15.7,5.47
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,3.14,0,0,0,0,0,0,5.99,3.62,0,0,0,0,0,0,0,3.34,0,0,0,0,0,2.24,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,1.33,0,0,0,0,0,0.94,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N3F2S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3N3F2S1,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
H3N4F1S1,0,0,0.49,0,0,0,0,0,0.85,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H4N4S1,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,4.04,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
