glycan,Az_1,Az_2,Az_3,Az_4,Sp_1,Sp_2,Sp_3,Sp_4,Ge_1,Ge_2,Ge_3,Ge_4,Se_1,Se_2,Se_3,Se_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.175864977,0.205351055,0.246491085,0.1755568,0.352005922,0.264286542,0.270264327,0.202608748,0.508562169,0.389237866,0.618599117,0.447843359,0.67193271,0.75052849,0.605952424,0.82516428
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.218610601,1.74177669,2.674165467,2.080829803,1.145868416,0.979564559,1.451004563,1.090792053,1.255542915,2.168149371,1.348447178,1.472473501,0.894427285,0.672995057,0.949546821,1.138904554
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.53936093,0.297092794,0.531041897,0.374306105,0.195848241,0.143242347,0.177141749,0.158005938,0.173927947,0.209406778,0.127085739,0.155854039,0.113282622,0.174814422,0.197224133,0.117652603
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.179913785,0.207446474,0.269457798,0.243172543,1.077053058,0.820957459,0.792659877,0.744862084,1.657474748,0.760908589,2.082524112,1.026277731,2.564142918,2.629945387,2.379346889,2.379070403
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.124480448,0.067644421,0.04675668,0.081500729,0.510210039,0.620828753,0.515245505,0.590672558,0.445593082,0.426352942,0.120317633,0.521827934,0.728846407,0.511534515,0.106675787,0.42186717
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.140322426,0.075408217,0.076478308,0.114676474,0.563917709,0.7758193,0.807389952,0.525382049,0.437425726,0.646901671,0.94934851,0.454446789,0.638020559,0.241260088,0.286374434,0.153450003
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.300671504,0.188722025,0.344796214,0.363647143,4.482871218,3.114046918,4.153291558,2.67284436,3.314389849,1.898724618,2.135284788,3.296079524,2.071062373,1.083201953,1.638707857,1.381379373
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.561398398,0.531994629,0.77877842,0.61126637,5.638772935,4.998216506,7.178116833,4.969848726,4.757021171,4.292226137,8.306174202,5.158639249,7.470312493,5.902171907,8.364050784,6.471298491
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.375886933,0.257951443,0.312245965,0.240229885,0.100551126,0.192291243,0.147177901,0.144789693,0.278582028,0.167203544,0.319905151,0.120875471,0.82814651,1.03257861,1.047859307,0.646734634
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.779463362,0.755828354,0.679375618,0.596814649,0.720922191,0.587960013,0.797365147,0.417247668,1.420289145,0.894438681,1.336533785,1.197195438,4.620723396,5.550560215,5.48887244,6.082517948
