glycan,NG-124 Li,NG125 Li,Adult NG Hexa (or HA) Li,Adult NG HexaNeu3 (or HAN3) Li,Adult NG Hexa (or HA) Stv,Adult NG HexaNeu3 (or HAN3) Stv,Fibroblast Hexa (or HA) Non,Fibroblast HexaNeu3 (or HAN3) Non,Fibroblast Hexa (or HA) Li,Fibroblast HexaNeu3 (or HAN3) Li,Fibroblast Hexa (or HA) MLSA-1,Fibroblast HexaNeu3 (or HAN3) MLSA-1,Fibroblast Hexa (or HA) Stv,Fibroblast HexaNeu3 (or HAN3) St
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.299602949,0,0,0,,0,0,0,0,0,0,0,0,0
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,14.4984422,10.35691667,13.38393086,16.1656846,13.19047897,14.263183,10.17791325,12.68736817,9.301180738,11.1727664,6.241143958,8.402275222,7.992932411,12.71995547
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.140793079,0,0,,0,0,0,0,0,0,0.053282586,0,0
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,,0,0,0,0,0,0.196658683,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.493405958,0,0.252764989,0.532634481,0.394055581,0.313572791,0.174648832,0,0.223163709,0.161446476,0,0.34791477,0.171965386,0.171558516
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,,0,0.188748927,0,0,0,0,0,0.075468101,0
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.17383364,0,0,0,,0,0,0,0,0,0,0,0,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,1.599674418,0.89945257,2.588705142,0.913369015,1.518851677,0.804496273,0.88483601,0.987731646,0.848475842,0.564469606,0.533817586,0.600060483,1.602773836
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.327262525,0.971569215,0.452055512,0.535279016,0.71357444,0.511763721,0.846640773,1.160039519,0.675560991,0.679256402,0.500906955,0.562183336,0.368013713,0.848236221
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.946782526,0.251957567,0.652934409,0.324626948,0.590785332,1.509785237,0.877344274,1.109674119,0.35913718,0.495378889,0.331632721,0.47623572,0.751955041
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.898443067,0.091702873,0.261310678,0.142734299,0.319705592,0,0.526491727,0,0,0.203360237,0.278693105,0.167191585,0.52653179
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc,0,0.06541548,0.086378096,0.095760594,0.079994975,0.075878946,0.095912712,0.272543389,0.083616479,0.102895801,0.064008388,0.170638656,0.064223832,0.160869601
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.440742135,0,0.228584848,0.067848334,0.123163735,0.144591879,0.400511499,0.143523876,0.219291725,0.079371848,0.166515339,0.148598769,0.324209781
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.280491415,0,0.333063803,0.112274073,0.223063774,0.201421009,0,0.32207745,0,0.180016,0.183806793,0.246528877,0
{Fuc(a1-3/6)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.401130437,0,0.418459988,0,,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0.18380103,0,0.223790962,0,0,0,0,0,0,0,0,0
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,9.225199393,12.91760428,13.47690117,15.4503045,13.04301213,14.80082823,12.59451561,16.49658734,13.81431775,15.40465717,6.307161533,8.472260155,8.351384777,16.19248554
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.489114106,0.27284032,0.797174529,0.756371858,0.658613925,0.513529065,0,0,0.306909858,0,0,0.355183271,0.251696321,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.260896034,0,0,0,0.146152068,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.941070005,0.800934149,0.318396043,0.96581299,0.605024036,0.93056652,0.79432258,0.844118121,0.920799183,1.31375371,0.749275941,0.524929991,0.661501672
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0.986771865,0.964891686,1.394375743,1.056706454,0.702043436,0.799431883,0.702274947,0.875663093,0,0.667175218,0.929868109,0.531853421,0.667157085
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0,0,0,0,0,0,2.431768576,3.272590407,2.135560481,0,0,0,0,0
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,1.171567182,0.514899069,1.002323546,0.671460248,1.00745733,0,0,0,0.925864638,1.194706495,0.933756702,0.927036532,1.205314739
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0.442033798,0.235419192,0.341355166,0.158606557,0.437130605,0,0,0,0.551092844,0.274072526,0.494579645,0.244550461,0.575746066
