glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1344,0.1011,0.0887,0.1080,0.0613,0.1305,0.1333,0.0629
GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.6997,0.5240,0.5955,1.0140,1.2863,0.8108,0.7778,0.6859
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2343,0.2184,0.1811,0.3596,0.1766,0.1234,0.2092,0.2753
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.5721,0.4775,0.5746,0.3869,0.5380,0.5458,0.5057,0.4411
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1362,0.1452,0.1239,0.0883,0.0958,0.1074,0.1996,0.1155
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2558,0.2639,0.1813,0.3204,0.2046,0.1722,0.2404,0.2390
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2744,0.2564,0.2942,0.2501,0.2708,0.3007,0.2043,0.1321
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1058,0.1279,0.0853,0.1149,0.0786,0.1526,0.1399,0.1142
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0268,0.0332,0.0682,0.0251,0.0272,0.0655,0.0553,0.0360
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2893,0.3592,0.3003,0.2817,0.3189,0.3068,0.3246,0.3136
